"GEOID","current_BRTE","future85_BRTE","expander_BRTE","retractor_BRTE","persistant_BRTE","current_IMCY","future85_IMCY","expander_IMCY","retractor_IMCY","persistant_IMCY","current_MISI","future85_MISI","expander_MISI","retractor_MISI","persistant_MISI","current_MIVI","future85_MIVI","expander_MIVI","retractor_MIVI","persistant_MIVI","current_NERE","future85_NERE","expander_NERE","retractor_NERE","persistant_NERE","current_PECI","future85_PECI","expander_PECI","retractor_PECI","persistant_PECI","current_SCBA","future85_SCBA","expander_SCBA","retractor_SCBA","persistant_SCBA","current_TACA","future85_TACA","expander_TACA","retractor_TACA","persistant_TACA","totfuture","totcurrent","totexpander","STATEFP","CountyName","State","COUNTYFP","COUNTYNS","NAME","NAMELSAD","LSAD","CLASSFP","MTFCC","CSAFP","CBSAFP","METDIVFP","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","Shape_Leng","Shape_Area","lat","long"
"20001",1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0,"20","Allen County","KS","001","00484970","Allen","Allen County","06","H1","G4020",NA,NA,NA,"A",1295762491,13023677,"+37.8842285","-095.3009448",1.50393207943,0.134042069464,"37.8842285","95.3009448"
"20003",1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,"20","Anderson County","KS","003","00484971","Anderson","Anderson County","06","H1","G4020",NA,NA,NA,"A",1501277564,10586104,"+38.2151139","-095.2920464",1.60895636765,0.155525481715,"38.2151139","95.2920464"
"20005",1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"20","Atchison County","KS","005","00484972","Atchison","Atchison County","06","H1","G4020","312","11860",NA,"A",1116736559,6851102,"+39.5325441","-095.3133975",1.71950123386,0.117710615747,"39.5325441","95.3133975"
"20007",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,"20","Barber County","KS","007","00484973","Barber","Barber County","06","H1","G4020",NA,NA,NA,"A",2937248475,5403867,"+37.2229059","-098.6850520",2.27136649752,0.298777644951,"37.2229059","98.6850520"
"20009",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,"20","Barton County","KS","009","00484974","Barton","Barton County","06","H1","G4020",NA,"24460",NA,"A",2318718654,13913626,"+38.4812394","-098.7678374",1.97737725646,0.240822399882,"38.4812394","98.7678374"
"20011",1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,"20","Bourbon County","KS","011","00484975","Bourbon","Bourbon County","06","H1","G4020",NA,NA,NA,"A",1645861891,9377598,"+37.8560997","-094.8509284",1.67057418493,0.169455886327,"37.8560997","94.8509284"
"20013",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"20","Brown County","KS","013","00484976","Brown","Brown County","06","H1","G4020",NA,NA,NA,"A",1478550074,3196147,"+39.8259308","-095.5699047",1.59223802157,0.155885915389,"39.8259308","95.5699047"
"20015",1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,0,"20","Butler County","KS","015","00484977","Butler","Butler County","06","H1","G4020","556","48620",NA,"A",3703330875,43157337,"+37.7736487","-096.8388402",2.48261999426,0.383171989783,"37.7736487","96.8388402"
"20017",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"20","Chase County","KS","017","00484978","Chase","Chase County","06","H1","G4020",NA,NA,NA,"A",2002208724,12087996,"+38.2994749","-096.5940289",1.84471476449,0.207457481426,"38.2994749","96.5940289"
"20019",1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,4,0,"20","Chautauqua County","KS","019","00484979","Chautauqua","Chautauqua County","06","H1","G4020",NA,NA,NA,"A",1654694139,15243783,"+37.1542592","-096.2453962",1.7266147764,0.169380477436,"37.1542592","96.2453962"
